Year,Month,date,any_images,any_cloudfree,image_ID,image_ID_20,have,get,priority,Greensboro,notes,clouds
2017,September,9/3/2017,TRUE,FALSE,,,,,,,,
2017,September,9/4/2017,,TRUE,20170904_150858_0f43,20170904_150858_0f43,,,,,very small amount of AOI,
,,9/4/2017,,TRUE,20170904_150857_0f43,20170904_150857_0f43,,,,,very small amount of AOI,
,,9/4/2017,,TRUE,20170904_150856_0f43,20170904_150856_0f43,,,,,very small amount of AOI,
2017,September,9/5/2017,,TRUE,20170905_150927_0f3f,20170905_150927_0f3f,,,,,very small amount of AOI,
,,9/5/2017,,TRUE,20170905_150554_1035,20170905_150554_1035,,GET,medium,TRUE,,
,,9/5/2017,,TRUE,20170905_150555_1035,20170905_150555_1035,,GET,medium,TRUE,,
,,9/5/2017,,TRUE,20170905_150557_1035,20170905_150557_1035,,GET,medium,TRUE,,
,,9/5/2017,,TRUE,20170905_155949_0f53,20170905_155949_0f53,,,,TRUE,test quality,
,,9/5/2017,,TRUE,20170905_155948_0f53,20170905_155948_0f53,,,,TRUE,test quality,
,,9/5/2017,,TRUE,20170905_160028_0f46,20170905_160028_0f46,,,,,test quality,
,,9/5/2017,,TRUE,20170905_160027_0f46,20170905_160027_0f46,,,,TRUE,test quality,
,,9/5/2017,,TRUE,20170905_160026_0f46,20170905_160026_0f46,,,,TRUE,test quality,
,,9/5/2017,,TRUE,20170905_160025_0f46,20170905_160025_0f46,,,,TRUE,test quality,
2017,September,9/7/2017,,TRUE,20170907_150736_101d,20170907_150736_101d,,,,TRUE,,visible clouds
,,9/7/2017,,TRUE,20170907_150735_101d,20170907_150735_101d,,,,TRUE,,visible clouds
,,9/7/2017,,TRUE,20170907_1507364_101d,20170907_1507364_101,,,,TRUE,,visible clouds
2017,September,9/8/2017,,TRUE,20170908_160031_0f3d,20170908_160031_0f3d,,,,,,
,,9/8/2017,,TRUE,20170908_160030_0f3d,20170908_160030_0f3d,,,,,,
,,9/8/2017,,TRUE,20170908_160029_0f3d,20170908_160029_0f3d,,,,,,
,,9/8/2017,,TRUE,20170908_160028_0f3d,20170908_160028_0f3d,,,,,,
,,9/8/2017,,TRUE,20170908_150542_1040,20170908_150542_1040,,GET,low,TRUE,very small amount of AOI,
,,9/8/2017,,TRUE,20170908_150543_1040,20170908_150543_1040,,GET,low,TRUE,very small amount of AOI,
,,9/8/2017,,TRUE,20170908_150651_1006,20170908_150651_1006,,,,TRUE,,visible clouds
,,9/8/2017,,TRUE,20170908_150650_1006,20170908_150650_1006,,,,TRUE,,visible clouds
,,9/8/2017,,TRUE,20170908_150649_1006,20170908_150649_1006,,,,TRUE,,visible clouds
,,9/8/2017,,TRUE,20170908_150648_1006,20170908_150648_1006,,,,TRUE,,visible clouds
,,9/8/2017,,TRUE,20170908_150849_1013,20170908_150849_1013,,,,TRUE,,visible clouds
,,9/8/2017,,TRUE,20170908_150850_1013,20170908_150850_1013,,,,TRUE,,visible clouds
,,9/8/2017,,TRUE,20170908_150851_1013,20170908_150851_1013,,,,TRUE,,visible clouds
,,9/8/2017,,TRUE,20170908_150852_1013,20170908_150852_1013,,,,TRUE,,visible clouds
,,9/8/2017,,TRUE,20170908_150853_1013,20170908_150853_1013,,,,,,visible clouds
,,9/8/2017,,TRUE,20170908_150854_1013,20170908_150854_1013,,,,,,visible clouds
2017,September,9/11/2017,,TRUE,20170911_150915_1007,20170911_150915_1007,,get,low,TRUE,very small part at top of AOI,
,,9/11/2017,,TRUE,20170911_150916_1007,20170911_150916_1007,TRUE,,regular,TRUE,,
,,9/11/2017,,TRUE,20170911_150917_1007,20170911_150917_1007,TRUE,,regular,TRUE,,
,,9/11/2017,,TRUE,20170911_150918_1007,20170911_150918_1007,TRUE,,regular,TRUE,,
,,9/11/2017,,TRUE,20170911_150919_1007,20170911_150919_1007,,,,,,
,,9/11/2017,,TRUE,20170911_150920_1007,20170911_150920_1007,,,,,,
2017,September,9/12/2017,TRUE,FALSE,,,,,,,,
2017,September,9/14/2017,TRUE,FALSE,,,,,,,,
2017,September,9/15/2017,,TRUE,20170915_155933_0f2a,20170915_155933_0f2a,,,,,very small part at top of AOI,
,,9/15/2017,,TRUE,20170915_150712_102c,20170915_150712_102c,,,,,small part of left of AOI,visible clouds
,,9/15/2017,,TRUE,20170915_150713_102c,20170915_150713_102c,,,,,small part of left of AOI,visible clouds
,,9/15/2017,,TRUE,20170915_150714_102c,20170915_150714_102c,,,,,small part of left of AOI,visible clouds
,,9/15/2017,,TRUE,20170915_150715_102c,20170915_150715_102c,,,,,small part of left of AOI,visible clouds
2017,September,9/17/2017,TRUE,FALSE,,,,,,,,
2017,September,9/20/2017,TRUE,FALSE,,,,,,,,
2017,September,9/21/2017,TRUE,FALSE,,,,,,,,
2017,September,9/23/2017,,TRUE,20170923_160013_0f3c,20170923_160013_0f3c,,,,,,visible clouds
,,9/23/2017,,TRUE,20170923_160004_0f33,20170923_160004_0f33,,,,,,visible clouds
