ha,dep_id,area_m2,area_size_class
0.0104,00001,104,1000
0.0108,00002,108,1000
0.03,00003,300,1000
0.5444,00004,5444,10000
0.0072,00006,72,1000
0.0408,00007,408.00000000000006,1000
0.0088,00008,88,1000
0.02,00009,200,1000
0.0088,00010,88,1000
0.1048,00011,1048,10000
0.0656,00012,656,1000
0.4084,00013,4084,10000
0.01,00014,100,1000
0.0164,00016,164,1000
0.0088,00017,88,1000
0.0364,00018,364,1000
1.7064,00019,17064,100000
0.1072,00020,1072,10000
0.0204,00021,204.00000000000003,1000
0.0128,00022,128,1000
0.01,00023,100,1000
0.0076,00024,76,1000
0.1052,00025,1052,10000
0.0612,00026,612,1000
0.01,00027,100,1000
0.3072,00028,3071.9999999999995,10000
0.0296,00029,296,1000
0.0112,00030,112,1000
0.152,00031,1520,10000
0.0176,00032,176,1000
0.0228,00033,228,1000
0.0484,00034,484,1000
0.032,00035,320,1000
0.6336,00036,6336.000000000001,10000
0.0356,00037,356,1000
0.018,00038,180,1000
0.0136,00039,136,1000
0.5152,00040,5152,10000
0.07,00041,700.0000000000001,1000
0.0144,00042,144,1000
1.3624,00043,13624,100000
0.0164,00044,164,1000
0.0072,00045,72,1000
0.0204,00046,204.00000000000003,1000
0.0312,00047,312,1000
0.0236,00048,236,1000
0.18,00049,1800,10000
0.1348,00050,1348,10000
0.0376,00051,376,1000
0.0052,00052,52,1000
0.0096,00053,95.99999999999999,1000
0.138,00054,1380.0000000000002,10000
0.0056,00055,56,1000
0.0444,00056,444,1000
0.0192,00057,191.99999999999997,1000
0.0076,00058,76,1000
0.016,00059,160,1000
0.05,00060,500,1000
0.0372,00061,371.99999999999994,1000
0.0232,00062,231.99999999999997,1000
0.0248,00063,248,1000
0.0084,00064,84,1000
0.0148,00065,148,1000
0.0056,00066,56,1000
0.274,00067,2740,10000
0.0184,00068,184,1000
0.9928,00069,9928,10000
0.0084,00070,84,1000
0.0228,00071,228,1000
2.7364,00072,27364,100000
0.0436,00073,436,1000
0.204,00074,2039.9999999999998,10000
0.0056,00075,56,1000
0.0112,00076,112,1000
0.038,00077,380,1000
0.0128,00078,128,1000
0.1024,00079,1024,10000
1.9872,00080,19872,100000
0.044,00081,440,1000
0.0244,00082,244.00000000000003,1000
0.0124,00083,124,1000
0.0532,00084,532,1000
0.0084,00085,84,1000
0.02,00086,200,1000
0.3716,00087,3716,10000
0.0208,00088,208,1000
0.0628,00089,628,1000
0.0236,00090,236,1000
0.0224,00091,224,1000
0.0944,00092,944,1000
0.0056,00093,56,1000
