ATTRIBUTE,WETLAND_TY,ACRES,Shape_Leng,Shape_Area,dep_id
PFO1Bd,Freshwater Forested/Shrub Wetland,2.78333245064,416.863485195,11263.7468248,00002
PUBHx,Freshwater Pond,0.155862548971,104.311080187,630.753358509,00009
PUBHx,Freshwater Pond,0.123165784335,85.8489048294,498.434246297,00018
PFO1B,Freshwater Forested/Shrub Wetland,0.626099913441,239.898093327,2533.73646056,00024
PFO1B,Freshwater Forested/Shrub Wetland,0.626099913441,239.898093327,2533.73646056,00025
PUBHx,Freshwater Pond,0.212377498413,112.317534994,859.461245052,00025
PFO4/1B,Freshwater Forested/Shrub Wetland,3.81644569437,478.917278451,15444.6077982,00036
R4SBC,Riverine,22.5113138903,30336.6274839,91100.0553658,00036
PFO4/1B,Freshwater Forested/Shrub Wetland,3.81644569437,478.917278451,15444.6077982,00037
PFO1C,Freshwater Forested/Shrub Wetland,12.1291902577,1145.03764317,49085.0915856,00040
PFO1C,Freshwater Forested/Shrub Wetland,27.4392081784,1444.00818685,111042.536052,00041
PFO1C,Freshwater Forested/Shrub Wetland,27.4392081784,1444.00818685,111042.536052,00042
PFO1C,Freshwater Forested/Shrub Wetland,27.4392081784,1444.00818685,111042.536052,00044
PFO1C,Freshwater Forested/Shrub Wetland,27.4392081784,1444.00818685,111042.536052,00046
PUBHx,Freshwater Pond,0.197971928991,124.892047466,801.163973805,00049
PFO1C,Freshwater Forested/Shrub Wetland,27.4392081784,1444.00818685,111042.536052,00052
PFO1C,Freshwater Forested/Shrub Wetland,27.4392081784,1444.00818685,111042.536052,00053
PFO1C,Freshwater Forested/Shrub Wetland,12.1291902577,1145.03764317,49085.0915856,00054
PFO1C,Freshwater Forested/Shrub Wetland,27.4392081784,1444.00818685,111042.536052,00055
PFO1B,Freshwater Forested/Shrub Wetland,3.85042100767,623.788683865,15582.1010133,00058
PFO1/4Bd,Freshwater Forested/Shrub Wetland,27.39614316,1585.19277027,110868.258106,00060
PFO1/4Bd,Freshwater Forested/Shrub Wetland,27.39614316,1585.19277027,110868.258106,00061
PFO1/4Bd,Freshwater Forested/Shrub Wetland,27.39614316,1585.19277027,110868.258106,00062
PFO1/4Bd,Freshwater Forested/Shrub Wetland,27.39614316,1585.19277027,110868.258106,00063
PFO1/4Bd,Freshwater Forested/Shrub Wetland,27.39614316,1585.19277027,110868.258106,00064
PFO1/4Bd,Freshwater Forested/Shrub Wetland,27.39614316,1585.19277027,110868.258106,00066
PFO1B,Freshwater Forested/Shrub Wetland,2.35096121542,467.083176062,9514.00251143,00067
PFO1C,Freshwater Forested/Shrub Wetland,12.1291902577,1145.03764317,49085.0915856,00067
PFO1/4Bd,Freshwater Forested/Shrub Wetland,27.39614316,1585.19277027,110868.258106,00068
PFO1/4Bd,Freshwater Forested/Shrub Wetland,27.39614316,1585.19277027,110868.258106,00070
PFO1/4Bd,Freshwater Forested/Shrub Wetland,27.39614316,1585.19277027,110868.258106,00071
PFO1C,Freshwater Forested/Shrub Wetland,12.1291902577,1145.03764317,49085.0915856,00073
PFO1/4Bd,Freshwater Forested/Shrub Wetland,27.39614316,1585.19277027,110868.258106,00075
PFO1B,Freshwater Forested/Shrub Wetland,2.22323806735,644.821696647,8997.12526838,00078
PFO1B,Freshwater Forested/Shrub Wetland,2.22323806735,644.821696647,8997.12526838,00079
PFO1C,Freshwater Forested/Shrub Wetland,40.4399120722,1829.08718198,163654.5182,00083
PFO1B,Freshwater Forested/Shrub Wetland,3.58471729524,699.678179409,14506.8362362,00085
PFO1C,Freshwater Forested/Shrub Wetland,40.4399120722,1829.08718198,163654.5182,00089
